iter	Logloss
0	0.6144847918
1	0.5541190374
2	0.513144741
3	0.4788387626
4	0.4322965549
5	0.4165036248
6	0.4022601752
7	0.3878108129
8	0.3781823872
9	0.3706464938
10	0.3632526698
11	0.3570096505
12	0.352146922
13	0.3471982733
14	0.342714476
15	0.3387535887
16	0.3350043107
17	0.3205613394
18	0.316757163
19	0.3139599362
20	0.3117298232
21	0.2981710725
22	0.2953904485
23	0.2933844077
24	0.2918182324
25	0.2893711397
26	0.2878500906
27	0.2857096424
28	0.2817526746
29	0.2742196331
30	0.2727891143
31	0.2710217317
32	0.2696391596
33	0.2687241073
34	0.2673875618
35	0.2658927653
36	0.2648028089
37	0.2625191653
38	0.2613060507
39	0.2597696534
40	0.2575255073
41	0.2567265643
42	0.2544747574
43	0.2531911668
44	0.2522366489
45	0.2510766124
46	0.2502824673
47	0.2494671224
48	0.2481101994
49	0.2473316866
50	0.2467043188
51	0.2452352605
52	0.2442720657
53	0.2432970237
54	0.2416875203
55	0.2410170948
56	0.2400651506
57	0.2394147965
58	0.2386002333
59	0.2377320181
60	0.2366281285
61	0.2362113925
62	0.2357042027
63	0.2352072708
64	0.2342337563
65	0.2338597439
66	0.2333509695
67	0.2329377272
68	0.23237311
69	0.2320185359
70	0.231471057
71	0.2311084384
72	0.2300058587
73	0.2295871328
74	0.2291068365
75	0.2287086666
76	0.2283274845
77	0.2279281052
78	0.2275848624
79	0.2272616147
80	0.2241900567
81	0.2233597213
82	0.2229938695
83	0.2224766382
84	0.2220927406
85	0.2217598654
86	0.2210590513
87	0.2205702956
88	0.2203005838
89	0.2196811361
90	0.2193311978
91	0.2186070656
92	0.2183489291
93	0.2177602997
94	0.2173930104
95	0.217095384
96	0.2167143917
97	0.2162459957
98	0.2159646332
99	0.2156702893
100	0.2134555322
101	0.2131728994
102	0.2127933623
103	0.2124863429
104	0.2121795738
105	0.211857768
106	0.2115579661
107	0.2113534311
108	0.2109533554
109	0.2107306223
110	0.2104028375
111	0.2099440847
112	0.2096608226
113	0.2094262426
114	0.209174819
115	0.2085403717
116	0.2082527137
117	0.2079547132
118	0.2077568797
119	0.2072536014
120	0.2070930547
121	0.2069271684
122	0.2066883178
123	0.2065293129
124	0.2062275958
125	0.2060677207
126	0.2058412133
127	0.2056816751
128	0.2053579934
129	0.2051308379
130	0.2048707521
131	0.2047047611
132	0.2045322789
133	0.2043809182
134	0.2041515652
135	0.2039308664
136	0.2036975555
137	0.2034094842
138	0.2031854234
139	0.2026426881
140	0.2024089161
141	0.2020198698
142	0.2018354847
143	0.2015656405
144	0.201425219
145	0.2011949043
146	0.2010179426
147	0.2008753353
148	0.2006749527
149	0.2005253949
150	0.2003726836
151	0.2002522304
152	0.2000910594
153	0.1998955361
154	0.1996682807
155	0.1994860156
156	0.1993343643
157	0.1990441216
158	0.1988018906
159	0.1986018186
160	0.1984693773
161	0.1983403473
162	0.1981984545
163	0.1980277601
164	0.1976850899
165	0.1974844825
166	0.1973234259
167	0.1972129214
168	0.1970855333
169	0.1969714975
170	0.1967879308
171	0.1966336487
172	0.1964520201
173	0.1962628169
174	0.1960774912
175	0.1957713617
176	0.1955912204
177	0.1954089419
178	0.1952528714
179	0.1950961249
180	0.1949034346
181	0.1947545625
182	0.1945245916
183	0.1942418959
184	0.1940433452
185	0.1923385278
186	0.1921386967
