iter	Passed	Remaining
0	155	154914
1	167	83648
2	183	61142
3	196	48923
4	208	41533
5	220	36578
6	233	33120
7	245	30485
8	257	28326
9	269	26633
10	281	25351
11	295	24310
12	306	23280
13	318	22446
14	331	21755
15	342	21093
16	354	20481
17	366	19993
18	474	24508
19	591	29001
20	676	31524
21	694	30879
22	719	30563
23	735	29899
24	747	29134
25	758	28410
26	769	27735
27	780	27092
28	794	26609
29	831	26870
30	842	26348
31	855	25889
32	868	25460
33	884	25135
34	898	24778
35	911	24396
36	926	24102
37	944	23908
38	960	23658
39	977	23465
40	996	23305
41	1013	23124
42	1032	22984
43	1051	22841
44	1071	22730
45	1087	22561
46	1103	22369
47	1117	22165
48	1130	21945
49	1146	21780
50	1160	21589
51	1172	21366
52	1183	21138
53	1194	20932
54	1206	20736
55	1218	20535
56	1230	20354
57	1242	20187
58	1254	20013
59	1266	19843
60	1288	19837
61	1300	19673
62	1311	19508
63	1323	19355
64	1334	19202
65	1346	19055
66	1357	18905
67	1369	18764
68	1380	18629
69	1391	18493
70	1404	18373
71	1416	18260
72	1430	18170
73	1443	18059
74	1454	17936
75	1465	17822
76	1478	17726
77	1491	17632
78	1505	17549
79	1529	17588
80	1542	17496
81	1554	17406
82	1567	17318
83	1579	17220
84	1590	17124
85	1603	17039
86	1614	16941
87	1624	16840
88	1636	16750
89	1647	16659
90	1658	16569
91	1669	16481
92	1680	16393
93	1691	16303
94	1702	16214
95	1712	16127
96	1723	16048
97	1734	15962
98	1745	15889
99	1757	15814
100	1767	15736
101	1778	15656
102	1788	15573
103	1799	15501
104	1810	15431
105	1821	15361
106	1832	15294
107	1844	15232
108	1854	15160
109	1864	15087
110	1875	15018
111	1885	14948
112	1895	14882
113	1906	14817
114	1917	14755
115	1927	14690
116	1938	14631
117	1949	14572
118	1960	14513
119	1971	14455
120	1981	14395
121	1991	14333
122	2003	14284
123	2018	14261
124	2032	14224
125	2043	14172
126	2055	14126
127	2066	14074
128	2076	14021
129	2089	13986
130	2103	13950
131	2115	13913
132	2128	13872
133	2139	13829
134	2152	13790
135	2165	13755
136	2177	13716
137	2189	13679
138	2202	13642
139	2214	13603
140	2226	13565
141	2238	13527
142	2251	13493
143	2263	13455
144	2274	13411
145	2287	13378
146	2311	13412
147	2323	13373
148	2334	13332
149	2346	13295
150	2357	13255
151	2368	13213
152	2379	13174
153	2390	13129
154	2401	13089
155	2411	13049
156	2422	13005
157	2433	12968
158	2445	12936
159	2457	12899
160	2467	12860
161	2478	12822
162	2489	12782
163	2500	12748
164	2511	12709
165	2522	12672
166	2532	12634
167	2543	12594
168	2553	12555
169	2563	12517
170	2575	12483
171	2585	12446
172	2598	12420
173	2610	12392
174	2623	12366
175	2634	12332
176	2646	12305
177	2657	12270
178	2667	12234
179	2679	12204
180	2691	12179
181	2703	12151
182	2714	12119
183	2725	12088
184	2737	12059
185	2748	12030
186	2760	12001
187	2772	11975
188	2782	11941
189	2793	11908
190	2804	11877
191	2815	11849
192	2826	11817
193	2836	11785
194	2847	11755
195	2858	11725
196	2869	11695
197	2879	11664
198	2890	11634
199	2900	11603
200	2911	11573
201	2922	11543
202	2932	11513
203	2943	11486
204	2954	11458
205	2965	11429
206	2976	11404
207	2987	11376
208	2998	11347
209	3010	11324
210	3021	11298
211	3031	11268
212	3042	11242
213	3053	11214
214	3064	11187
215	3074	11160
216	3086	11137
217	3098	11114
218	3109	11087
219	3121	11067
220	3133	11044
221	3145	11022
222	3157	11002
223	3169	10981
224	3180	10955
225	3191	10929
226	3201	10902
227	3212	10876
228	3222	10848
229	3232	10822
230	3244	10800
231	3255	10777
232	3267	10754
233	3278	10733
234	3291	10713
235	3301	10689
236	3313	10668
237	3324	10645
238	3336	10625
239	3348	10602
240	3359	10580
241	3370	10556
242	3380	10531
243	3390	10506
244	3401	10482
245	3412	10459
246	3423	10436
247	3434	10414
248	3445	10390
249	3455	10367
250	3466	10345
251	3477	10322
252	3487	10297
253	3498	10275
254	3509	10253
255	3520	10232
256	3532	10212
257	3543	10190
258	3554	10168
259	3564	10145
260	3575	10122
261	3585	10100
262	3596	10079
263	3607	10057
264	3619	10040
265	3630	10017
266	3640	9994
267	3651	9972
268	3661	9950
269	3672	9928
270	3681	9904
271	3693	9884
272	3704	9864
273	3714	9842
274	3724	9820
275	3735	9799
276	3746	9778
277	3757	9759
278	3768	9739
279	3779	9718
280	3791	9700
281	3802	9682
282	3814	9664
283	3825	9643
284	3835	9622
285	3846	9603
286	3857	9582
287	3867	9561
288	3878	9541
289	3888	9519
290	3898	9499
291	3909	9480
292	3921	9462
293	3932	9442
294	3943	9424
295	3954	9405
296	3965	9387
297	3976	9366
298	3986	9346
299	3997	9327
300	4008	9307
301	4018	9286
302	4029	9269
303	4039	9249
304	4050	9229
305	4061	9211
306	4073	9195
307	4084	9177
308	4096	9161
309	4108	9145
310	4121	9130
311	4133	9114
312	4145	9099
313	4158	9085
314	4171	9070
315	4183	9055
316	4195	9038
317	4205	9019
318	4215	9000
319	4226	8981
320	4238	8966
321	4249	8948
322	4261	8932
323	4272	8914
324	4283	8896
325	4294	8878
326	4304	8860
327	4315	8841
328	4326	8824
329	4336	8804
330	4347	8786
331	4357	8767
332	4367	8747
333	4377	8728
334	4387	8709
335	4399	8693
336	4410	8677
337	4420	8658
338	4433	8644
339	4445	8629
340	4456	8612
341	4467	8595
342	4479	8580
343	4490	8564
344	4502	8548
345	4513	8532
346	4524	8514
347	4535	8498
348	4546	8481
349	4558	8464
350	4569	8448
351	4580	8431
352	4591	8415
353	4603	8400
354	4614	8384
355	4627	8371
356	4639	8355
357	4651	8341
358	4662	8324
359	4673	8308
360	4684	8291
361	4694	8274
362	4705	8256
363	4715	8239
364	4726	8223
365	4738	8208
366	4749	8191
367	4759	8174
368	4770	8157
369	4781	8141
370	4791	8124
371	4802	8107
372	4814	8092
373	4826	8078
374	4837	8063
375	4849	8047
376	4860	8031
377	4870	8013
378	4880	7997
379	4891	7980
380	4902	7964
381	4913	7949
382	4925	7935
383	4936	7918
384	4946	7901
385	4956	7884
386	4967	7868
387	4977	7851
388	4988	7835
389	5000	7820
390	5010	7804
391	5020	7787
392	5031	7771
393	5042	7755
394	5053	7740
395	5064	7724
396	5076	7709
397	5087	7695
398	5098	7680
399	5110	7665
400	5122	7651
401	5134	7637
402	5146	7623
403	5158	7609
404	5169	7595
405	5179	7578
406	5190	7562
407	5201	7546
408	5211	7530
409	5222	7514
410	5232	7499
411	5243	7483
412	5254	7467
413	5264	7452
414	5275	7437
415	5286	7421
416	5298	7407
417	5308	7391
418	5319	7376
419	5330	7361
420	5341	7345
421	5351	7329
422	5362	7314
423	5373	7299
424	5383	7283
425	5393	7267
426	5404	7252
427	5416	7238
428	5427	7224
429	5438	7208
430	5448	7192
431	5459	7177
432	5469	7162
433	5480	7147
434	5492	7133
435	5502	7118
436	5513	7102
437	5523	7087
438	5533	7071
439	5543	7055
440	5553	7039
441	5564	7024
442	5575	7010
443	5587	6996
444	5598	6982
445	5611	6969
446	5623	6956
447	5633	6940
448	5644	6926
449	5656	6913
450	5669	6900
451	5681	6887
452	5692	6873
453	5703	6858
454	5713	6843
455	5724	6828
456	5734	6813
457	5745	6798
458	5755	6783
459	5765	6768
460	5776	6754
461	5787	6739
462	5797	6724
463	5808	6710
464	5819	6695
465	5830	6680
466	5840	6665
467	5850	6650
468	5861	6636
469	5871	6620
470	5881	6605
471	5892	6591
472	5902	6576
473	5914	6563
474	5925	6548
475	5935	6534
476	5947	6520
477	5958	6506
478	5968	6491
479	5979	6477
480	5990	6463
481	6000	6448
482	6010	6433
483	6021	6420
484	6032	6405
485	6043	6391
486	6053	6377
487	6063	6362
488	6074	6347
489	6086	6334
490	6097	6320
491	6108	6307
492	6119	6293
493	6131	6280
494	6143	6267
495	6153	6252
496	6163	6238
497	6174	6223
498	6184	6209
499	6194	6194
500	6205	6180
501	6215	6166
502	6225	6151
503	6236	6137
504	6246	6122
505	6256	6108
506	6267	6094
507	6277	6079
508	6288	6065
509	6298	6051
510	6308	6037
511	6321	6024
512	6332	6011
513	6342	5997
514	6353	5983
515	6363	5968
516	6374	5955
517	6390	5946
518	6407	5938
519	6419	5925
520	6431	5913
521	6444	5901
522	6458	5890
523	6471	5878
524	6483	5865
525	6495	5852
526	6506	5839
527	6517	5826
528	6528	5812
529	6539	5798
530	6549	5785
531	6561	5772
532	6572	5758
533	6583	5745
534	6594	5731
535	6605	5718
536	6618	5706
537	6630	5693
538	6640	5679
539	6653	5667
540	6664	5654
541	6676	5641
542	6689	5630
543	6702	5618
544	6712	5604
545	6725	5591
546	6736	5578
547	6748	5566
548	6758	5552
549	6769	5539
550	6781	5526
551	6792	5513
552	6803	5499
553	6816	5487
554	6828	5474
555	6838	5461
556	6850	5448
557	6861	5435
558	6872	5421
559	6883	5408
560	6895	5396
561	6906	5382
562	6917	5369
563	6929	5356
564	6941	5344
565	6952	5331
566	6964	5318
567	6977	5306
568	6988	5293
569	7031	5304
570	7117	5347
571	7213	5397
572	7278	5424
573	7303	5420
574	7320	5410
575	7333	5398
576	7346	5385
577	7358	5372
578	7370	5359
579	7381	5345
580	7391	5330
581	7402	5316
582	7415	5303
583	7427	5291
584	7439	5277
585	7451	5264
586	7463	5251
587	7475	5237
588	7487	5224
589	7500	5212
590	7512	5199
591	7525	5186
592	7539	5174
593	7552	5162
594	7566	5150
595	7579	5137
596	7591	5124
597	7603	5111
598	7616	5099
599	7628	5085
600	7640	5072
601	7651	5058
602	7664	5046
603	7676	5033
604	7689	5020
605	7705	5010
606	7724	5001
607	7737	4988
608	7750	4976
609	7764	4964
610	7776	4951
611	7790	4939
612	7803	4926
613	7816	4913
614	7829	4901
615	7840	4887
616	7851	4873
617	7862	4859
618	7872	4845
619	7883	4831
620	7895	4818
621	7907	4805
622	7919	4792
623	7930	4778
624	7941	4765
625	7952	4751
626	7962	4736
627	7973	4723
628	7984	4709
629	7995	4695
630	8006	4681
631	8017	4668
632	8029	4655
633	8041	4642
634	8053	4629
635	8065	4616
636	8077	4602
637	8088	4589
638	8100	4576
639	8111	4562
640	8121	4548
641	8131	4534
642	8142	4520
643	8153	4507
644	8163	4493
645	8173	4479
646	8184	4465
647	8196	4452
648	8207	4438
649	8218	4425
650	8228	4411
651	8239	4397
652	8249	4383
653	8259	4369
654	8270	4356
655	8281	4342
656	8291	4328
657	8302	4315
658	8313	4301
659	8323	4287
660	8334	4274
661	8344	4260
662	8356	4247
663	8368	4234
664	8378	4220
665	8390	4207
666	8401	4194
667	8412	4180
668	8422	4167
669	8433	4153
670	8443	4140
671	8463	4130
672	8475	4117
673	8486	4104
674	8497	4091
675	8507	4077
676	8518	4064
677	8529	4050
678	8540	4037
679	8550	4023
680	8562	4010
681	8573	3997
682	8584	3984
683	8594	3970
684	8605	3957
685	8615	3943
686	8627	3930
687	8638	3917
688	8649	3904
689	8660	3890
690	8671	3877
691	8682	3864
692	8692	3850
693	8703	3837
694	8713	3823
695	8723	3810
696	8735	3797
697	8746	3784
698	8759	3772
699	8771	3759
700	8783	3746
701	8797	3734
702	8808	3721
703	8821	3709
704	8835	3697
705	8850	3685
706	8863	3673
707	8876	3660
708	8888	3648
709	8902	3636
710	8915	3623
711	8927	3610
712	8937	3597
713	8948	3584
714	8960	3571
715	8971	3558
716	8982	3545
717	8993	3532
718	9003	3518
719	9014	3505
720	9025	3492
721	9036	3479
722	9047	3466
723	9058	3453
724	9070	3440
725	9081	3427
726	9093	3414
727	9104	3401
728	9115	3388
729	9126	3375
730	9137	3362
731	9147	3349
732	9158	3336
733	9169	3322
734	9179	3309
735	9190	3296
736	9201	3283
737	9212	3270
738	9222	3257
739	9233	3244
740	9246	3231
741	9257	3219
742	9269	3206
743	9280	3193
744	9291	3180
745	9303	3167
746	9318	3156
747	9332	3144
748	9344	3131
749	9356	3118
750	9366	3105
751	9378	3092
752	9389	3079
753	9400	3067
754	9412	3054
755	9424	3041
756	9436	3029
757	9448	3016
758	9461	3004
759	9473	2991
760	9486	2979
761	9499	2966
762	9510	2954
763	9523	2941
764	9535	2929
765	9547	2916
766	9558	2903
767	9571	2891
768	9586	2879
769	9597	2866
770	9609	2854
771	9621	2841
772	9633	2829
773	9647	2816
774	9659	2804
775	9670	2791
776	9681	2778
777	9692	2765
778	9704	2753
779	9715	2740
780	9726	2727
781	9737	2714
782	9749	2702
783	9761	2689
784	9774	2676
785	9785	2664
786	9797	2651
787	9809	2639
788	9820	2626
789	9831	2613
790	9842	2600
791	9854	2588
792	9866	2575
793	9877	2562
794	9890	2550
795	9901	2537
796	9911	2524
797	9922	2511
798	9934	2499
799	9944	2486
800	9956	2473
801	9968	2461
802	9978	2448
803	9990	2435
804	10001	2422
805	10013	2410
806	10024	2397
807	10035	2384
808	10047	2372
809	10058	2359
810	10071	2347
811	10082	2334
812	10094	2321
813	10105	2309
814	10116	2296
815	10128	2283
816	10138	2270
817	10150	2258
818	10162	2245
819	10174	2233
820	10186	2220
821	10197	2208
822	10208	2195
823	10220	2182
824	10231	2170
825	10243	2157
826	10253	2144
827	10264	2132
828	10274	2119
829	10284	2106
830	10295	2093
831	10306	2081
832	10317	2068
833	10327	2055
834	10338	2042
835	10351	2030
836	10363	2018
837	10376	2005
838	10389	1993
839	10401	1981
840	10414	1968
841	10427	1956
842	10440	1944
843	10453	1932
844	10463	1919
845	10474	1906
846	10484	1893
847	10495	1881
848	10506	1868
849	10517	1856
850	10528	1843
851	10539	1830
852	10550	1818
853	10561	1805
854	10573	1793
855	10584	1780
856	10594	1767
857	10605	1755
858	10615	1742
859	10627	1730
860	10639	1717
861	10650	1705
862	10662	1692
863	10673	1680
864	10684	1667
865	10696	1655
866	10707	1642
867	10719	1630
868	10731	1617
869	10743	1605
870	10755	1592
871	10768	1580
872	10782	1568
873	10794	1556
874	10806	1543
875	10819	1531
876	10831	1519
877	10843	1506
878	10856	1494
879	10869	1482
880	10883	1470
881	10897	1457
882	10909	1445
883	10923	1433
884	10937	1421
885	10950	1409
886	10962	1396
887	10974	1384
888	10986	1371
889	10996	1359
890	11008	1346
891	11019	1334
892	11031	1321
893	11042	1309
894	11054	1296
895	11065	1284
896	11077	1272
897	11088	1259
898	11099	1246
899	11111	1234
900	11123	1222
901	11134	1209
902	11145	1197
903	11157	1184
904	11168	1172
905	11180	1159
906	11191	1147
907	11201	1134
908	11213	1122
909	11224	1110
910	11236	1097
911	11247	1085
912	11258	1072
913	11269	1060
914	11279	1047
915	11291	1035
916	11302	1023
917	11314	1010
918	11326	998
919	11337	985
920	11349	973
921	11360	961
922	11371	948
923	11382	936
924	11392	923
925	11403	911
926	11415	898
927	11426	886
928	11438	874
929	11449	861
930	11460	849
931	11471	836
932	11483	824
933	11493	812
934	11504	799
935	11516	787
936	11527	775
937	11538	762
938	11550	750
939	11560	737
940	11571	725
941	11581	713
942	11593	700
943	11604	688
944	11615	676
945	11626	663
946	11637	651
947	11648	638
948	11659	626
949	11670	614
950	11682	601
951	11693	589
952	11703	577
953	11714	564
954	11725	552
955	11736	540
956	11748	527
957	11759	515
958	11771	503
959	11783	490
960	11796	478
961	11808	466
962	11820	454
963	11831	441
964	11841	429
965	11852	417
966	11864	404
967	11875	392
968	11887	380
969	11899	368
970	11909	355
971	11920	343
972	11931	331
973	11942	318
974	11953	306
975	11964	294
976	11973	281
977	11985	269
978	11996	257
979	12007	245
980	12018	232
981	12029	220
982	12041	208
983	12053	195
984	12064	183
985	12075	171
986	12085	159
987	12096	146
988	12107	134
989	12118	122
990	12129	110
991	12141	97
992	12150	85
993	12160	73
994	12171	61
995	12182	48
996	12193	36
997	12203	24
998	12214	12
999	12224	0
